DateTime,x(m),y(m),z(m),vx(m/s),vy(m/s),vz(m/s)
2030-11-14 09:51:10.372008,1422138.759461,6685367.755366,-1754419.526912,1465.603464,1531.829262,7264.304173
2030-11-14 09:52:21.859721,1522683.234737,6775368.946492,-1230510.452330,1345.913101,984.726745,7385.938584
2030-11-14 09:53:33.084937,1614059.846040,6825886.686855,-701392.639829,1218.667837,432.978596,7464.509438
2030-11-14 09:54:44.018272,1695794.769321,6837003.839249,-170401.747145,1084.757653,-119.793319,7499.868496
2030-11-14 09:55:55.768418,1768570.734092,6808341.624791,367688.275850,942.819834,-678.851635,7491.759330
2030-11-14 09:57:07.310368,1830788.735049,6739929.836450,902062.573023,795.659842,-1232.770466,7439.704069
2030-11-14 09:58:19.067461,1882442.637757,6631734.516639,1432729.180683,643.313672,-1781.378641,7343.655544
2030-11-14 09:59:30.763650,1922992.602430,6484666.756937,1954505.848788,487.293711,-2319.137304,7204.411334
2030-11-14 10:00:42.456573,1952248.040646,6299525.050760,2464750.586669,328.447657,-2843.156946,7022.784889
2030-11-14 10:01:54.155017,1970044.119617,6077384.975863,2960525.800474,167.741888,-3350.264378,6799.909097
2030-11-14 10:03:05.875222,1976281.484663,5819503.734838,3439027.215517,6.135439,-3837.450727,6537.146930
2030-11-14 10:04:17.630410,1970922.260614,5527340.022027,3897523.427429,-155.403123,-4301.813570,6236.106973
2030-11-14 10:05:29.432763,1953991.910600,5202544.068484,4333385.343415,-315.906300,-4740.590780,5898.629345
2030-11-14 10:06:41.294242,1925579.413460,4846946.853011,4744105.719293,-474.415705,-5151.183134,5526.769767
2030-11-14 10:07:53.223807,1885838.598068,4462566.106241,5127298.053436,-629.982132,-5531.155330,5122.800771
2030-11-14 10:09:05.229919,1834987.556490,4051586.176496,5480726.794045,-781.677365,-5878.267440,4689.185383
2030-11-14 10:10:17.318179,1773309.867693,3616361.159529,5802310.348352,-928.595305,-6190.478239,4228.575069
2030-11-14 10:11:29.493693,1701152.393564,3159390.366243,6090147.841988,-1069.863058,-6465.970944,3743.778602
2030-11-14 10:12:41.755168,1618930.551322,2683343.727558,6342511.666448,-1204.635606,-6703.145103,3237.784079
2030-11-14 10:13:54.099829,1527123.296015,2191018.608491,6557886.867689,-1332.112384,-6900.652857,2713.708625
2030-11-14 10:15:06.517425,1426279.358274,1685364.749878,6734970.968395,-1451.533407,-7057.396918,2174.820905
2030-11-14 10:16:18.987704,1317021.485330,1169487.097885,6872697.780129,-1562.184619,-7172.551738,1624.540874
2030-11-14 10:17:31.470427,1200063.245611,646698.844077,6970260.800284,-1663.395595,-7245.586382,1066.493834
2030-11-14 10:18:43.888469,1076241.557403,120620.129528,7027165.180770,-1754.537775,-7276.318835,504.614194
2030-11-14 10:19:56.030704,946701.019650,-404154.147938,7043338.391121,-1834.954883,-7265.060414,-56.141431
2030-11-14 10:21:09.700364,808834.438126,-937633.513786,7018170.521471,-1905.977809,-7210.794661,-626.450678
2030-11-14 10:22:23.298206,666300.513018,-1465030.534155,6951263.209546,-1965.393327,-7114.044947,-1190.510184
2030-11-14 10:23:37.052611,519511.484604,-1984860.282795,6842879.720397,-2013.093822,-6975.304091,-1746.751919
2030-11-14 10:24:50.927104,369401.795042,-2493763.943929,6693627.868634,-2048.789106,-6795.510323,-2291.624070
2030-11-14 10:26:04.922379,216855.657567,-2988710.709150,6504333.234015,-2072.292515,-6575.796350,-2821.943272
2030-11-14 10:27:19.032461,62786.723512,-3466704.828214,6276079.622738,-2083.487603,-6317.543291,-3334.578987
2030-11-14 10:28:33.251572,-91881.375026,-3924853.492131,6010192.926918,-2082.332768,-6022.357807,-3826.523508
2030-11-14 10:29:47.573983,-246220.651785,-4360384.045359,5708232.324796,-2068.860493,-5692.059958,-4294.907480
2030-11-14 10:31:01.991943,-399300.434998,-4770650.254938,5371989.600187,-2043.177147,-5328.680360,-4737.003425
2030-11-14 10:32:16.496567,-550195.365930,-5153157.015589,5003477.041881,-2005.462646,-4934.445205,-5150.248911
2030-11-14 10:33:31.078322,-697992.620341,-5505580.769829,4604913.315759,-1955.969096,-4511.759950,-5532.265077
2030-11-14 10:34:45.725684,-841795.527327,-5825780.309810,4178717.306739,-1895.020168,-4063.202058,-5880.864745
2030-11-14 10:36:00.425389,-980730.616213,-6111815.955817,3727493.052984,-1823.009544,-3591.504717,-6194.069585
2030-11-14 10:37:15.159758,-1113949.515301,-6361957.955379,3254031.087907,-1740.402048,-3099.558164,-6470.115515
2030-11-14 10:38:29.907044,-1240637.312723,-6574709.663894,2761291.286557,-1647.732368,-2590.391926,-6707.474185
2030-11-14 10:39:44.639319,-1360017.170652,-6748823.586080,2252398.842284,-1545.606166,-2067.171174,-6904.866670
2030-11-14 10:40:59.308943,-1471340.083718,-6883305.187187,1730719.513621,-1434.719318,-1533.274190,-7061.262068
2030-11-14 10:42:13.841267,-1573892.682487,-6977464.999683,1199895.077737,-1315.874219,-992.327593,-7175.927766
2030-11-14 10:43:28.095368,-1666973.988066,-7030978.473111,664100.724702,-1190.052613,-448.466086,-7248.480746
2030-11-14 10:44:41.815727,-1749895.045443,-7044070.164942,128358.581912,-1058.520306,93.356063,-7279.066209
2030-11-14 10:45:57.233021,-1824459.456970,-7016154.822788,-420446.485258,-917.907934,646.476305,-7267.549460
2030-11-14 10:47:12.355509,-1887986.084414,-6947019.881940,-964628.086117,-772.563410,1193.143177,-7213.188948
2030-11-14 10:48:28.062386,-1940785.632346,-6836062.090375,-1507287.705988,-621.598608,1736.595341,-7115.481020
2030-11-14 10:49:43.692116,-1981976.807365,-6684518.015824,-2040399.410521,-467.154896,2268.913256,-6975.455819
2030-11-14 10:50:59.328219,-2011379.995997,-6493192.986051,-2561386.684265,-309.952966,2787.660844,-6793.849816
2030-11-14 10:52:14.947126,-2028814.924241,-6263297.010690,-3066985.242033,-150.941025,3289.718727,-6571.777129
2030-11-14 10:53:30.539847,-2034184.574519,-5996252.023489,-3554133.305693,8.953455,3772.171913,-6310.558672
2030-11-14 10:54:46.094255,-2027467.111629,-5693721.040966,-4019868.118041,168.792753,4232.202956,-6011.750142
2030-11-14 10:56:01.597400,-2008717.606718,-5357593.361523,-4461362.627757,327.639075,4667.125069,-5677.129450
2030-11-14 10:57:17.035736,-1978068.042468,-4989972.116447,-4875946.633625,484.560502,5074.399867,-5308.686618
2030-11-14 10:58:32.395217,-1935726.640712,-4593160.222934,-5261126.064146,638.636709,5451.653489,-4908.612466
2030-11-14 10:59:47.658321,-1881978.978785,-4169662.397050,-5614587.170220,788.958585,5796.678300,-4479.304014
2030-11-14 11:01:02.808306,-1817184.391511,-3722147.002876,-5934236.814637,934.642780,6107.470342,-4023.329763
2030-11-14 11:02:17.823745,-1741778.452542,-3253459.974382,-6218195.732629,1074.826957,6382.221314,-3543.448039
2030-11-14 11:03:32.680897,-1656269.896741,-2766593.937961,-6464830.031563,1208.681256,6619.348519,-3042.580349
2030-11-14 11:04:47.350104,-1561242.709086,-2264691.582193,-6672759.624842,1335.409069,6817.503119,-2523.820021
2030-11-14 11:06:01.791156,-1457361.461729,-1751057.384670,-6840874.417945,1454.248602,6975.587096,-1990.450291
2030-11-14 11:07:15.944660,-1345384.663803,-1229196.597162,-6968358.405666,1564.472410,7092.779598,-1445.991865
2030-11-14 11:08:29.717302,-1226191.481620,-702894.858927,-7054735.180189,1665.386211,7168.586714,-894.294899
2030-11-14 11:09:42.924962,-1100887.069068,-176592.175961,-7099945.582372,1756.291158,7202.931274,-339.944835
2030-11-14 11:10:56.251217,-969064.051380,351572.961709,-7104389.942954,1837.550561,7196.050518,219.096859
2030-11-14 11:12:11.116650,-828719.511107,888711.150342,-7066590.455325,1909.859940,7146.152329,790.535813
2030-11-14 11:13:25.560049,-684212.034829,1417514.238180,-6986662.521610,1970.589577,7053.567790,1356.088461
2030-11-14 11:14:39.855045,-535911.918995,1936809.821973,-6865120.549544,2019.651038,6918.678166,1914.506161
2030-11-14 11:15:53.957567,-384803.072492,2443223.307149,-6702892.017954,2056.718212,6742.330725,2462.151825
2030-11-14 11:17:07.869515,-231793.107709,2933800.101879,-6501100.746184,2081.573684,6525.567768,2995.791310
2030-11-14 11:18:21.587698,-77806.659895,3405661.596253,-6261114.198863,2094.069522,6269.687664,3512.226244
2030-11-14 11:19:35.110313,76233.388421,3856067.323890,-5984522.003681,2094.133007,5976.227069,4008.362762
2030-11-14 11:20:48.437693,229413.287776,4282434.216173,-5673118.723915,2081.766933,5646.948005,4481.235457
2030-11-14 11:22:01.570674,380830.573371,4682340.156378,-5328895.318042,2057.049679,5283.833696,4928.015019
2030-11-14 11:23:14.512025,529602.357027,5053544.434699,-4954017.789066,2020.134640,4889.070232,5346.035448
2030-11-14 11:24:27.263620,674864.681590,5393984.403456,-4550825.816902,1971.250913,4465.048548,5732.795439
2030-11-14 11:25:39.829995,815784.670374,5701803.539339,-4121798.269570,1910.700369,4014.330661,6085.995787
2030-11-14 11:26:52.214579,951557.719535,5975342.682382,-3669557.237127,1838.858551,3539.655475,6403.535660
2030-11-14 11:28:04.421292,1081415.378670,6213156.671957,-3196842.982140,1756.171939,3043.912960,6683.537909
2030-11-14 11:29:16.451964,1204625.381416,6414014.538329,-2706513.970254,1663.158760,2530.143604,6924.355484
2030-11-14 11:30:28.303839,1320493.081361,6576906.493020,-2201548.908686,1560.411085,2001.538797,7124.585001
2030-11-14 11:31:39.971819,1428371.432315,6701064.793493,-1685014.681026,1448.590143,1461.404419,7283.096717
2030-11-14 11:32:51.426328,1527637.197977,6785953.809757,-1160209.576858,1328.461039,913.306450,7399.022682
2030-11-14 11:34:02.604202,1617699.529203,6831336.209538,-630717.062396,1200.916352,361.120869,7471.831644
2030-11-14 11:35:14.213890,1698885.986638,6837209.245193,-94336.431987,1065.421735,-197.287270,7501.525766
2030-11-14 11:36:25.850081,1770160.692443,6803073.991502,442795.186833,923.492626,-755.349752,7487.226926
2030-11-14 11:37:37.398431,1830996.977984,6729199.160617,976672.825550,776.228293,-1308.730250,7429.022236
2030-11-14 11:38:49.148006,1881252.211412,6615602.664473,1506298.364063,623.929205,-1856.211869,7326.882827
2030-11-14 11:40:00.841861,1920416.088083,6463227.655287,2026640.242508,468.068647,-2392.413039,7181.653855
2030-11-14 11:41:12.534764,1948302.407528,6272901.656758,2535042.862880,309.499221,-2914.432002,6994.185048
2030-11-14 11:42:24.236062,1964753.861424,6045726.597011,3028582.831356,149.184126,-3419.112884,6765.643429
2030-11-14 11:43:35.961372,1969677.970385,5782988.202483,3504463.569895,-11.918879,-3903.458184,6497.427604
2030-11-14 11:44:47.723672,1963043.932496,5486172.498258,3959966.386235,-172.844110,-4364.582661,6191.179972
2030-11-14 11:45:59.535951,1944883.876670,5156951.413571,4392483.247853,-332.630016,-4799.750321,5848.767825
2030-11-14 11:47:11.409163,1915293.562178,4797184.510293,4799518.657793,-490.320785,-5206.379070,5472.280321
2030-11-14 11:48:23.351965,1874433.520552,4408914.591031,5178704.819859,-644.972104,-5582.058083,5064.018915
2030-11-14 11:49:35.373439,1822527.655236,3994344.510388,5527831.360057,-795.663218,-5924.578429,4626.467698
2030-11-14 11:50:47.478158,1759866.191164,3555854.750723,5844835.638168,-941.492633,-6231.923765,4162.306567
2030-11-14 11:51:59.669738,1686803.309288,3095973.430995,6127837.426563,-1081.591973,-6502.303948,3674.374447
2030-11-14 11:53:11.948011,1603758.952873,2617381.194472,6375142.897412,-1215.126574,-6734.157601,3165.669541
2030-11-14 11:54:24.308541,1511219.189951,2122902.003924,6585262.632051,-1341.301496,-6926.167800,2639.335146
2030-11-14 11:55:36.740387,1409738.701016,1615504.030131,6756926.928206,-1459.365129,-7077.274793,2098.656728
2030-11-14 11:56:49.220213,1299949.570942,1098325.252082,6889101.915256,-1568.609170,-7186.690294,1547.086014
2030-11-14 11:58:01.706857,1182571.570111,574693.710268,6981024.710245,-1668.374071,-7253.930698,988.260190
2030-11-14 11:59:14.107598,1058472.890891,48346.646689,7032243.219697,-1758.026537,-7278.865097,426.234313
2030-11-14 12:00:26.306160,928630.221151,-476813.249419,7042758.078529,-1837.030258,-7261.843395,-134.779432
2030-11-14 12:01:39.996387,790627.211273,-1009988.793803,7011803.547853,-1906.560184,-7201.733530,-704.597565
2030-11-14 12:02:53.619887,648055.430722,-1536689.645635,6939150.327774,-1964.490356,-7099.214564,-1267.742124
2030-11-14 12:04:07.398752,501339.001937,-2055387.571813,6825080.995424,-2010.711623,-6954.800363,-1822.602860
2030-11-14 12:05:21.297377,351410.506932,-2562736.532409,6670240.000687,-2044.944249,-6769.464167,-2365.646080
2030-11-14 12:06:35.315920,199154.390883,-3055710.854157,6475488.155860,-2067.010132,-6544.372215,-2893.697991
2030-11-14 12:07:49.448505,45482.548110,-3531327.138152,6241943.045029,-2076.801596,-6280.936848,-3403.644992
2030-11-14 12:09:03.689459,-108683.860846,-3986707.413687,5970962.938515,-2074.285385,-5980.794036,-3892.498543
2030-11-14 12:10:18.032238,-262418.091718,-4419090.953513,5664141.849056,-2059.502118,-5645.795521,-4357.404827
2030-11-14 12:11:32.468950,-414792.828154,-4825850.577961,5323303.193309,-2032.566124,-5277.999751,-4795.659001
2030-11-14 12:12:46.991289,-564888.212111,-5204516.351188,4950485.571281,-1993.664467,-4879.654900,-5204.727281
2030-11-14 12:14:01.588507,-711793.972632,-5552783.114301,4547941.051269,-1943.056878,-4453.195910,-5582.251530
2030-11-14 12:15:16.249499,-854619.967675,-5868538.822357,4118111.842850,-1881.073372,-4001.218971,-5926.076295
2030-11-14 12:16:30.959861,-992496.951828,-6149868.673099,3663631.999583,-1808.114773,-3526.483107,-6234.249656
2030-11-14 12:17:45.703820,-1124587.023388,-6395081.213605,3187300.961419,-1724.649461,-3031.882508,-6505.048011
2030-11-14 12:19:00.456299,-1250077.114045,-6602702.819937,2692117.991710,-1631.220878,-2520.482555,-6736.965984
2030-11-14 12:20:15.186278,-1368194.466650,-6771518.044398,2181245.811965,-1528.444072,-1995.482218,-6928.756533
2030-11-14 12:21:29.844773,-1478198.871238,-6900576.093218,1658073.647119,-1417.022235,-1460.279191,-7079.432705
2030-11-14 12:22:44.355822,-1579387.531118,-6989237.071973,1126262.166973,-1297.764508,-918.515152,-7188.311487
2030-11-14 12:23:58.558265,-1671050.281007,-7037227.039249,590137.324866,-1171.691700,-374.473799,-7255.055883
2030-11-14 12:25:12.952859,-1753309.308394,-7044741.322216,49213.062671,-1038.693970,172.454994,-7279.952868
2030-11-14 12:26:28.270045,-1826280.950337,-7010941.069768,-498696.666642,-898.088800,724.559196,-7262.255444
2030-11-14 12:27:43.400968,-1888321.975568,-6935953.755496,-1042311.478166,-752.663990,1270.572761,-7201.776376
2030-11-14 12:28:59.109656,-1939617.177757,-6819171.706700,-1583888.927463,-601.742945,1812.883099,-7097.977356
2030-11-14 12:30:14.739812,-1979312.169107,-6661914.161880,-2115452.970975,-447.457084,2343.621979,-6951.972875
2030-11-14 12:31:30.374642,-2007234.596337,-6465015.180956,-2634433.506884,-290.526529,2860.359437,-6764.526038
2030-11-14 12:32:45.989949,-2023213.615232,-6229722.481130,-3137575.287462,-131.898945,3359.984324,-6536.787002
2030-11-14 12:34:01.576652,-2027161.564262,-5957492.572698,-3621832.134523,27.500415,3839.595795,-6270.109776
2030-11-14 12:35:17.122635,-2019065.834692,-5650021.522836,-4084260.586664,186.736902,4296.393626,-5966.081863
2030-11-14 12:36:32.614523,-1998990.588297,-5309232.055252,-4522053.236441,344.875495,4727.708062,-5626.513652
2030-11-14 12:37:48.039366,-1967076.304607,-4937254.256115,-4932568.203831,500.989793,5131.025808,-5253.421556
2030-11-14 12:39:03.383178,-1923539.270724,-4536417.864733,-5313338.742990,654.164403,5503.996667,-4849.023053
